"","day.of.year","airport.code","avg.delay","lat","lon","city","state","airport"
"14859","178","XNA",58.5,"36.2756","-94.2955","Bentonville","Arkansas","Northwest Arkansas Regional Airport"
"14860","179","ALB",58,"42.7426","-73.809","Latham","New York","Albany International Airport"
"14861","179","ANC",21,"61.1767","-149.961","Anchorage","Alaska","Anchorage International Airport"
"14862","179","ATL",52.9354838709677,"33.6558","-84.4333","Atlanta","Georgia","Hartsfield-Jackson Atlanta International Airport"
"14863","179","AVP",29,"41.3354","-75.7294","Pittston","Pennsylvania","Wilkes Barre Scranton International Airport"
"14864","179","BDL",13.6666666666667,"41.9271","-72.6816","Windsor Locks","Connecticut","Bradley International Airport"
"14865","179","BHM",29,"33.5604","-86.7492","Birmingham","Alabama","Birmingham International Airport"
"14866","179","BNA",22.25,"36.1342","-86.6682","Nashville","Tennessee","Nashville International Airport"
"14867","179","BOS",84.4615384615385,"42.3717","-71.0281","Boston","Massachusetts","Gen E L Logan International Airport"
"14868","179","BTR",27,"30.533","-91.1567","Baton Rouge","Louisiana","Baton Rouge Metropolitan Airport"
"14869","179","BUF",21.25,"42.9309","-78.738","Buffalo","New York","Greater Buffalo International Airport"
"14870","179","BWI",78.6666666666667,"39.1841","-76.6745","Baltimore","Maryland","Baltimore-Washington International Thurgood Mars"
"14871","179","CAE",129,"33.9468","-81.1241","West Columbia","South Carolina","Columbia Metropolitan Airport"
"14872","179","CAK",6,"40.9149","-81.4309","Canton","Ohio","Akron Canton Regional Airport"
"14873","179","CHS",10,"32.8838","-80.0356","North Charleston","South Carolina","Charleston International Airport"
"14874","179","CLE",36,"41.4115","-81.8339","Cleveland","Ohio","Hopkins International Airport"
"14875","179","CLT",28,"35.2226","-80.946","Charlotte","North Carolina","Douglas International Airport"
"14876","179","CMH",45,"39.9974","-82.8877","Columbus","Ohio","Port Columbus International Airport"
"14877","179","CSG",19,"32.5184","-84.9401","Columbus","Georgia","Columbus Metropolitan Airport"
"14878","179","CVG",64.6666666666667,"39.0571","-84.6625","Hebron","Ohio","Greater Cincinnati International Airport"
"14879","179","DAL",30,"32.8439","-96.8496","Dallas","Texas","Dallas Love Field Airport"
"14880","179","DAY",11,"39.8968","-84.2207","Dayton","Ohio","James M Cox Dayton International Airport"
"14881","179","DCA",168.8,"38.849","-77.0438","Arlington","Virginia","Washington National Airport"
"14882","179","DEN",12.6666666666667,"39.8396","-104.672","Denver","Colorado","Denver International Airport"
"14883","179","DFW",15.9411764705882,"32.9222","-97.0409","Dallas","Texas","Fort Worth International Airport"
"14884","179","DTW",31.125,"42.2327","-83.3412","Detroit","Michigan","Detroit Metropolitan Wayne County Airport"
"14885","179","EVV",53,"38.0464","-87.5308","Evansville","Indiana","Evansville Regional Airport"
"14886","179","EWR",62.1,"40.6924","-74.1843","Newark","New Jersey","Newark International Airport"
"14887","179","FAI",44,"64.8183","-147.866","Fairbanks","Alaska","Fairbanks International Airport"
"14888","179","FLL",36,"26.0722","-80.1354","Dania Beach","Florida","Fort Lauderdale Hollywood International Airport"
"14889","179","GPT",59,"30.4133","-89.072","Gulfport","Mississippi","Gulfport Biloxi Regional Airport"
"14890","179","GRR",26,"42.8841","-85.5307","Grand Rapids","Michigan","Gerald R. Ford International Airport"
"14891","179","GSO",70,"36.1038","-79.9427","Greensboro","North Carolina","Triad International Airport"
"14892","179","GSP",79,"34.8907","-82.2167","Greer","South Carolina","Greenville Spartanburg International Airport"
"14893","179","GTR",15,"33.4516","-88.5876","Columbus","Mississippi","Golden Triangle Regional Airport"
"14894","179","HOU",9,"29.6572","-95.2795","Houston","Texas","William P Hobby Airport"
"14895","179","HPN",34,"41.0693","-73.7042","Purchase","New York","Westchester County Airport"
"14896","179","HRL",33,"26.2216","-97.663","Harlingen","Texas","Grande Valley International Airport"
"14897","179","IAD",59.8333333333333,"38.9556","-77.4484","Washington","Virginia","Dulles International Airport"
"14898","179","IAH",21.5,"29.9784","-95.3424","Houston","Texas","George Bush Intercontinental Airport"
"14899","179","IND",41.5,"39.7322","-86.2707","Indianapolis","Indiana","Indianapolis International Airport"
"14900","179","ISP",52.6666666666667,"40.7891","-73.0984","Ronkonkoma","New York","Long Island Macarthur Airport"
"14901","179","JAC",27,"43.6034","-110.736","Jackson","Wyoming","Jackson Hole Airport"
"14902","179","JAX",30.5,"30.4914","-81.676","Jacksonville","Florida","Jacksonville International Airport"
"14903","179","JFK",59.6,"40.6437","-73.79","Jamaica","New York","John F Kennedy International Airport"
"14904","179","LAN",28,"42.7728","-84.5888","Lansing","Michigan","Lansing Capital City Airport"
"14905","179","LAS",27.3333333333333,"36.0806","-115.143","Las Vegas","Nevada","Mccarran International Airport"
"14906","179","LAX",7.8,"33.9456","-118.391","Los Angeles","California","Los Angeles International Airport"
"14907","179","LEX",74.3333333333333,"38.0384","-84.5989","Lexington","Kentucky","Blue Grass Field"
"14908","179","LFT",18.5,"30.2084","-91.9935","Lafayette","Louisiana","Lafayette Regional Airport"
"14909","179","LGA",62,"40.7731","-73.8756","Flushing","New York","LaGuardia Airport"
"14910","179","MCO",12.2857142857143,"28.4418","-81.3115","Orlando","Florida","Orlando International Airport"
"14911","179","MDT",59,"40.1962","-76.7564","Middletown","Pennsylvania","Harrisburg International Airport"
"14912","179","MDW",37,"41.7875","-87.7416","Chicago","Illinois","Chicago Midway International Airport"
"14913","179","MEM",31,"35.047","-89.9823","Memphis","Tennessee","Memphis International Airport"
"14914","179","MHT",71.5,"42.9293","-71.4386","Manchester","New Hampshire","Manchester-Boston Regional Airport"
